Order,Astronaut,Type,Date,Spacecraft
483,Jing Haipen,Orbital,25 September 2008,ShenZhou 7
,Liu Buoming,Orbital,25 September 2008,ShenZhou 7
,Zhai Zhigang,Orbital,25 September 2008,ShenZhou 7
486,Richard Garriott,Orbital,12 October 2008,Soyuz TMA-13
487,Eric Boe,Orbital,15 November 2008,STS-126
,Stephen Bowen,Orbital,15 November 2008,STS-126
,Robert Kimbrough,Orbital,15 November 2008,STS-126
490,Joseph Acaba,Orbital,15 March 2009,STS-119
,Dominic Antonelli,Orbital,15 March 2009,STS-119
,Richard Arnold,Orbital,15 March 2009,STS-119
493,Michael Barratt,Orbital,26 March 2009,Soyuz TMA-14
494,Andrew Feustel,Orbital,11 May 2009,STS-125
,Michael Good,Orbital,11 May 2009,STS-125
,Gregory C. Johnson,Orbital,11 May 2009,STS-125
,K. Megan McArthur,Orbital,11 May 2009,STS-125
498,Roman Romanenko,Orbital,27 May 2009,Soyuz TMA-15
499,Christopher Cassidy,Orbital,15 July 2009,STS-127
,Douglas Hurley,Orbital,15 July 2009,STS-127
,Timothy Kopra,Orbital,15 July 2009,STS-127
,Thomas Marshburn,Orbital,15 July 2009,STS-127
503,Kevin Ford,Orbital,29 August 2009,STS-128
,Jose Hernandez,Orbital,29 August 2009,STS-128
,Nicole Stott,Orbital,29 August 2009,STS-128
506,Guy Laliberté,Orbital,30 September 2009,Soyuz TMA-16
,Maksim Surayev,Orbital,30 September 2009,Soyuz TMA-16
508,Randolph Bresnik,Orbital,16 November 2009,STS-129
,Robert Satcher,Orbital,16 November 2009,STS-129
,Barry Wilmore,Orbital,16 November 2009,STS-129
511,Timothy Creamer,Orbital,20 December 2009,Soyuz TMA-17
512,Terry Virts,Orbital,8 February 2010,STS-130
513,Mikhail Korniyenko,Orbital,2 April 2010,Soyuz TMA-18
,Aleksandr Skvortsov,Orbital,2 April 2010,Soyuz TMA-18
515,James Dutton,Orbital,5 April 2010,STS-131
,Dorothy Metcalf-Lindenburger,Orbital,5 April 2010,STS-131
,Naoko Yamazaki,Orbital,5 April 2010,STS-131
518,Shannon Walker,Orbital,15 June 2010,Soyuz TMA-19
519,Oleg Skripochka,Orbital,7 October 2010,Soyuz TMA-01M
520,Dmitry Kondratiyev,Orbital,15 December 2010,Soyuz TMA-20
521,Andrei Borisenko,Orbital,4 April 2011,Soyuz TMA-21
,Aleksandr Samokutyayev,Orbital,4 April 2011,Soyuz TMA-21
523,Satoshi Furukawa,Orbital,7 June 2011,Soyuz TMA-02M
524,Anotoli Ivanishin,Orbital,14 November 2011,Soyuz TMA-22
,Anton Shkaplerov,Orbital,14 November 2011,Soyuz TMA-22
526,Sergey Revin,Orbital,15 May 2012,Soyuz TMA-04M
527,Liu Wang,Orbital,16 June 2012,ShenZhou 9
,Liu Yang,Orbital,16 June 2012,ShenZhou 9
529,Oleg Novitskiy,Orbital,23 October 2012,Soyuz TMA-06M
,Yevgeni Tarelkin,Orbital,23 October 2012,Soyuz TMA-06M
531,Aleksandr Misurkin,Orbital,28 March 2013,Soyuz TMA-08M
532,Luca Parmitano,Orbital,28 May 2013,Soyuz TMA-09M
533,Wang Ya-ping,Orbital,11 June 2013,Shenzhou 10
,Zhang Xiao-guang,Orbital,11 June 2013,Shenzhou 10
535,Michael Hopkins,Orbital,25 September 2013,Soyuz TMA-10M
,Sergei Ryazansky,Orbital,25 September 2013,Soyuz TMA-10M
537,Oleg Artemyev,Orbital,25 March 2014,Soyuz TMA-12M
538,Alexander Gerst,Orbital,28 May 2014,Soyuz TMA-13M
,Gregory Wiseman,Orbital,28 May 2014,Soyuz TMA-13M
540,Elena Serova,Orbital,25 September 2014,Soyuz TMA-14M
541,Samantha Cristoforetti,Orbital,23 November 2014,Soyuz TMA-15M
542,Kjell Lindgren,Orbital,22 July 2015,Soyuz TMA-17M
,Kimiya Yui,Orbital,22 July 2015,Soyuz TMA-17M
544,Aydyn Aimbetov,Orbital,2 September 2015,Soyuz TMA-18M
,Andreas Mogensen,Orbital,2 September 2015,Soyuz TMA-18M
546,Timothy Peake,Orbital,15 December 2015,Soyuz TMA-19M
547,Aleksei Ovchinin,Orbital,18 March 2016,Soyuz TMA-20M
548,Takuya Onishi,Orbital,7 July 2016,Soyuz MS-01
,Kathleen Rubins,Orbital,7 July 2016,Soyuz MS-01
550,Chen Dong,Orbital,16 October 2016,Shenzhou 11
551,Sergei Ryzhikov,Orbital,19 October 2016,Soyuz MS-02
552,Thomas Pesquet,Orbital,17 November 2016,Soyuz MS-03
553,Jack Fischer,Orbital,20 April 2017,Soyuz MS-04
554,Mark Vande Hei,Orbital,12 September 2017,Soyuz MS-06
555,Norishige Kanai,Orbital,17 December 2017,Soyuz MS-07
,Scott Tingle,Orbital,17 December 2017,Soyuz MS-07
557,Serena Auñón-Chancellor,Orbital,6 June 2018,Soyuz MS-09
,Sergei Prokopyev,Orbital,6 June 2018,Soyuz MS-09
559,Anne McClain,Orbital,3 December 2018,Soyuz MS-11
,David Saint-Jacques,Orbital,3 December 2018,Soyuz MS-11
561,Tyler Hague,Orbital,14 March 2019,Soyuz MS-12
,Christina Koch,Orbital,14 March 2019,Soyuz MS-12
563,Andrew Morgan,Orbital,20 July 2019,Soyuz MS-13
564,Hazza Al-Mansouri,Orbital,25 September 2019,Soyuz MS-15
,Jessica Meir,Orbital,25 September 2019,Soyuz MS-15
566,Ivan Vagner,Orbital,9 April 2020,Soyuz MS-16
567,Sergei Kud-Sverchkov,Orbital,14 October 2020,Soyuz MS-17
1,Alan Shepard,Suborbital,5 May 1961,Freedom 7
2,Virgil Grissom,Suborbital,21 July 1961,Liberty Bell 7
3,Joseph Walker,Suborbital,19 July 1963,X-15 Flight #90
4,Michael Melvill,Suborbital,21 June 2004,SpaceShipOne 15P
5,Brian Binnie,Suborbital,4 October 2004,SpaceShipOne 17P
1,Robert White,Near Space,17 July 1962,X-15 Flight #62
2,Joseph Walker,Near Space,17 January 1963,X-15 Flight #77
3,Robert Rushworth,Near Space,27 June 1963,X-15 Flight #87
4,Joseph Engle,Near Space,29 June 1965,X-15 Flight #138
5,John McKay,Near Space,28 September 1965,X-15 Flight #150
6,William Dana,Near Space,1 November 1966,X-15 Flight #174
7,William Knight,Near Space,17 October 1967,X-15 Flight #190
8,Michael Adams,Near Space,15 November 1967,X-15 Flight #191
9,Mark Stucky,Near Space,13 December 2018,VSS Unity PF04
10,David Mackay,Near Space,22 February 2019,VSS Unity PF05
,Michael Masucci,Near Space,22 February 2019,VSS Unity PF05
