Order,Astronaut,Type,Date,Spacecraft
104,Dumitru-Dorin Prunariu,Orbital,14 May 1981,Soyuz 40
105,Joseph Engle,Orbital,12 November 1981,STS-2
,Richard Truly,Orbital,12 November 1981,STS-2
107,Charles Fullerton,Orbital,22 March 1982,STS-3
108,Anatoli Berezovoi,Orbital,13 May 1982,Soyuz T-5
109,Jean-Loup Chretien,Orbital,24 June 1982,Soyuz T-6
110,Henry Hartsfield,Orbital,27 June 1982,STS-4
111,Svetlana Savitskaya,Orbital,19 August 1982,Soyuz T-7
,Aleksandr Serebrov,Orbital,19 August 1982,Soyuz T-7
113,Joseph Allen,Orbital,11 November 1982,STS-5
,William Lenoir,Orbital,11 November 1982,STS-5
,Robert Overmyer,Orbital,11 November 1982,STS-5
116,Karol Bobko,Orbital,4 April 1983,STS-6
,Franklin Musgrave,Orbital,4 April 1983,STS-6
,Donald Peterson,Orbital,4 April 1983,STS-6
119,Vladimir Titov,Orbital,20 April 1983,Soyuz T-8
120,John Fabian,Orbital,18 June 1983,STS-7
,Frederick Hauck,Orbital,18 June 1983,STS-7
,Sally Ride,Orbital,18 June 1983,STS-7
,Norman Thagard,Orbital,18 June 1983,STS-7
124,Aleksandr Pavlovich Aleksandrov,Orbital,27 June 1983,Soyuz T-9
125,Guion Bluford,Orbital,30 August 1983,STS-8
,Daniel Brandenstein,Orbital,30 August 1983,STS-8
,Dale Gardner,Orbital,30 August 1983,STS-8
,William Thornton,Orbital,30 August 1983,STS-8
129,Bryon Lichtenberg,Orbital,28 November 1983,STS-9
,Ulf Merbold,Orbital,28 November 1983,STS-9
,Robert Parker,Orbital,28 November 1983,STS-9
,Brewster Shaw,Orbital,28 November 1983,STS-9
133,Robert Gibson,Orbital,3 February 1984,41-B
,Bruce McCandless,Orbital,3 February 1984,41-B
,Ronald McNair,Orbital,3 February 1984,41-B
,Robert Stewart,Orbital,3 February 1984,41-B
137,Oleg Atkov,Orbital,8 February 1984,Soyuz T-10
,Vladimir Solovyov,Orbital,8 February 1984,Soyuz T-10
139,Rakesh Sharma,Orbital,3 April 1984,Soyuz T-11
140,Terry Hart,Orbital,6 April 1984,41-C
,George Nelson,Orbital,6 April 1984,41-C
,Francis Scobee,Orbital,6 April 1984,41-C
,James van Hoften,Orbital,6 April 1984,41-C
144,Igor Volk,Orbital,17 July 1984,Soyuz T-12
145,Michael Coats,Orbital,30 August 1984,41-D
,Steven Hawley,Orbital,30 August 1984,41-D
,Richard Mullane,Orbital,30 August 1984,41-D
,Judith Resnik,Orbital,30 August 1984,41-D
,Charles Walker,Orbital,30 August 1984,41-D
150,Marc Garneau,Orbital,5 October 1984,41-G
,David Leestma,Orbital,5 October 1984,41-G
,Jon McBride,Orbital,5 October 1984,41-G
,Paul Scully-Power,Orbital,5 October 1984,41-G
,Kathryn Sullivan,Orbital,5 October 1984,41-G
155,Anna Fisher,Orbital,8 November 1984,51-A
,David Walker,Orbital,8 November 1984,51-A
157,James Buchli,Orbital,24 January 1985,51-C
,Ellison Onizuka,Orbital,24 January 1985,51-C
,Gary Payton,Orbital,24 January 1985,51-C
,Loren Shriver,Orbital,24 January 1985,51-C
161,Edwin Garn,Orbital,12 April 1985,51-D
,Stanley Griggs,Orbital,12 April 1985,51-D
,Jeffrey Hoffman,Orbital,12 April 1985,51-D
,Margaret Seddon,Orbital,12 April 1985,51-D
,Donald Williams,Orbital,12 April 1985,51-D
166,Frederick Gregory,Orbital,29 April 1985,51-B
,Don Lind,Orbital,29 April 1985,51-B
