payload_id,name,type,reused,manufacturers,mass_kg,mass_lb,orbit,reference_system,regime
5eb0e4c7b6c3bb0006eeb21f,Hispasat 30W-6,Satellite,False,['SSL'],6092.0,13430.6,GTO,geocentric,geostationary
5eb0e4c7b6c3bb0006eeb220,Iridium NEXT 5,Satellite,False,['Thales Alenia Space'],9600.0,21164.38,PO,geocentric,low-earth
5eb0e4c7b6c3bb0006eeb221,CRS-14,Dragon 1.1,True,['SpaceX'],2760.0,6084.7,ISS,geocentric,low-earth
5eb0e4c7b6c3bb0006eeb222,TESS,Satellite,False,['Orbital ATK'],350.0,772.0,HEO,highly-elliptical,high-earth
5eb0e4c7b6c3bb0006eeb223,Bangabandhu-1,Satellite,False,['Thales Alenia Space'],3750.0,8270.0,GTO,geocentric,geostationary
5eb0e4c7b6c3bb0006eeb224,Iridium NEXT 6,Satellite,False,['Thales Alenia Space'],4300.0,9479.9,PO,geocentric,low-earth
5eb0e4c8b6c3bb0006eeb225,GRACE-FO 1-2,Satellite,False,[],1160.0,2557.4,PO,geocentric,sun-synchronous
5eb0e4c8b6c3bb0006eeb226,SES-12,Satellite,False,['Airbus Defence and Space'],5383.85,11869.4,GTO,geocentric,geostationary
5eb0e4c8b6c3bb0006eeb227,CRS-15,Dragon 1.1,True,['SpaceX'],2410.0,5313.0,ISS,geocentric,low-earth
5eb0e4c8b6c3bb0006eeb228,Telstar 19V,Satellite,False,['SSL'],7076.0,15600.0,GTO,geocentric,geostationary
5eb0e4c9b6c3bb0006eeb229,Iridium NEXT 7,Satellite,False,['Thales Alenia Space'],9600.0,21164.38,PO,geocentric,low-earth
5eb0e4c9b6c3bb0006eeb22a,Telkom-4,Satellite,False,['SSL'],5800.0,12786.81,GTO,geocentric,geostationary
5eb0e4c9b6c3bb0006eeb22b,Telstar 18V,Satellite,False,['SSL'],7060.0,15564.64,GTO,geocentric,geostationary
5eb0e4c9b6c3bb0006eeb22c,SAOCOM 1A,Satellite,False,['INVAP'],2800.0,6172.94,SSO,geocentric,sun-synchronous
5eb0e4c9b6c3bb0006eeb22d,Es'hail 2,Satellite,False,['Mitsubishi Electric'],3000.0,6613.868,GTO,geocentric,geostationary
5eb0e4c9b6c3bb0006eeb22e,SSO-A,Satellite,False,"['Spaceflight Industries, Inc']",4000.0,8818.49,SSO,geocentric,sun-synchronous
5eb0e4cab6c3bb0006eeb22f,CRS-16,Dragon 1.1,True,['SpaceX'],2573.0,5672.494,ISS,geocentric,low-earth
5eb0e4cab6c3bb0006eeb230,GPS III SV01,Satellite,False,['Lockheed Martin'],4400.0,9700.34,MEO,geocentric,semi-synchronous
5eb0e4cab6c3bb0006eeb231,Iridium NEXT 8,Satellite,False,['Thales Alenia Space'],9600.0,21164.38,PO,geocentric,low-earth
5eb0e4cab6c3bb0006eeb232,Nusantara Satu (PSN-6),Satellite,False,['SSL'],5000.0,11023.11,GTO,geocentric,geostationary
