rocket_id,name,type,active,country,company,height_mt,height_ft,diameter_mt,diameter_ft,mass_kg,mass_lb,stages,boosters,cost_per_launch,landing_legs,engines
5e9d0d95eda69955f709d1eb,Falcon 1,rocket,False,Republic of the Marshall Islands,SpaceX,22.25,73.0,1.68,5.5,30146,66460,2,0,6700000,"{'number': 0, 'material': None}","{'isp': {'sea_level': 267, 'vacuum': 304}, 'thrust_sea_level': {'kN': 420, 'lbf': 94000}, 'thrust_vacuum': {'kN': 480, 'lbf': 110000}, 'number': 1, 'type': 'merlin', 'version': '1C', 'layout': 'single', 'engine_loss_max': 0, 'propellant_1': 'liquid oxygen', 'propellant_2': 'RP-1 kerosene', 'thrust_to_weight': 96}"
5e9d0d95eda69973a809d1ec,Falcon 9,rocket,True,United States,SpaceX,70.0,229.6,3.7,12.0,549054,1207920,2,0,50000000,"{'number': 4, 'material': 'carbon fiber'}","{'isp': {'sea_level': 288, 'vacuum': 312}, 'thrust_sea_level': {'kN': 845, 'lbf': 190000}, 'thrust_vacuum': {'kN': 914, 'lbf': 205500}, 'number': 9, 'type': 'merlin', 'version': '1D+', 'layout': 'octaweb', 'engine_loss_max': 2, 'propellant_1': 'liquid oxygen', 'propellant_2': 'RP-1 kerosene', 'thrust_to_weight': 180.1}"
5e9d0d95eda69974db09d1ed,Falcon Heavy,rocket,True,United States,SpaceX,70.0,229.6,12.2,39.9,1420788,3125735,2,2,90000000,"{'number': 12, 'material': 'carbon fiber'}","{'isp': {'sea_level': 288, 'vacuum': 312}, 'thrust_sea_level': {'kN': 845, 'lbf': 190000}, 'thrust_vacuum': {'kN': 914, 'lbf': 205500}, 'number': 27, 'type': 'merlin', 'version': '1D+', 'layout': 'octaweb', 'engine_loss_max': 6, 'propellant_1': 'liquid oxygen', 'propellant_2': 'RP-1 kerosene', 'thrust_to_weight': 180.1}"
5e9d0d96eda699382d09d1ee,Starship,rocket,False,United States,SpaceX,118.0,387.0,9.0,30.0,2943000,1335000,2,0,7000000,"{'number': 6, 'material': 'stainless steel'}","{'isp': {'sea_level': 330, 'vacuum': 380}, 'thrust_sea_level': {'kN': 1780, 'lbf': 400000}, 'thrust_vacuum': {'kN': 1960, 'lbf': 440000}, 'number': 37, 'type': 'raptor', 'version': '', 'layout': None, 'engine_loss_max': None, 'propellant_1': 'liquid oxygen', 'propellant_2': 'liquid methane', 'thrust_to_weight': 107}"
