Kwartał,Białystok,Bydgoszcz,Gdańsk,Gdynia,Katowice,Kielce,Kraków,Lublin,Łódź,Olsztyn,Opole,Poznań,Rzeszów,Szczecin,Warszawa,Wrocław,Zielona Góra,7 miast
II 2016,4832,5153,6581,6964,5372,4833,6670,5095,4894,4788,4641,6458,5013,4890,7649,6201,3880,6694
III 2016,4684,5246,6536,6949,5365,4686,6526,5244,4900,5174,4488,6453,4952,4876,7772,6335,3880,6774
IV 2016,4707,5250,6550,6842,5293,4679,6711,5202,5110,5559,4501,6403,4842,4881,7638,6443,3891,6796
I 2017,4844,5289,6462,6870,5362,4677,6619,5123,4943,5566,4691,6429,4811,5031,7707,6460,3890,6781
II 2017,4874,5397,6775,6785,5383,4757,6746,5210,5180,5481,4741,6435,5054,5694,7740,6461,3912,6871
III 2017,5096,6028,7329,7259,5439,4780,6931,5134,5147,5450,4761,6479,4990,5750,7788,6390,3922,6953
IV 2017,5066,6041,7371,7955,5479,4762,6924,5209,5332,5600,4759,6551,4992,5573,8020,6526,3937,7121
I 2018,5095,6196,8054,7855,5377,4869,6918,5284,5524,5709,5021,6676,4952,5659,8201,6745,3931,7307
II 2018,5236,6123,8422,7912,5780,4869,6902,5364,5475,5811,5069,6866,5257,5756,8611,7020,3951,7528
III 2018,5401,6227,8293,7641,5845,4852,7040,5676,5529,5794,5199,6931,5233,5934,8888,7145,4102,7641
IV 2018,5569,6427,8603,9342,6274,5112,7356,5860,5599,5960,5264,7033,5210,6054,9020,7230,4306,7862
I 2019,5640,6309,8267,9206,6418,5101,7630,5866,5796,6082,5322,7349,5549,6243,9427,7457,4512,8097
II 2019,5753,6340,9033,9071,6548,5132,7968,5844,6010,6081,5646,7228,5792,6305,9591,7636,4670,8294
III 2019,5916,6415,9474,9325,6717,5284,8021,5933,6027,6184,5698,7380,5799,6605,9935,7909,4727,8520
