launch_id,name,date,rocket_id,launchpad_id,success,failures,ships,capsules,payloads,cores,fairings_reused,fairings_recovery_attempts,fairings_recovered
5eb87d15ffd86e000604b362,Hispasat 30W-6,2018-03-06T05:33:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],[],[],['5eb0e4c7b6c3bb0006eeb21f'],"[{'core': '5e9e28a5f359186cb73b2654', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",False,False,False
5eb87d16ffd86e000604b363,Iridium NEXT Mission 5,2018-03-30T14:13:51.000Z,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,True,[],['5ea6ed2e080df4000697c908'],[],['5eb0e4c7b6c3bb0006eeb220'],"[{'core': '5e9e28a4f3591843103b2650', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",False,True,False
5eb87d16ffd86e000604b364,CRS-14,2018-04-02T20:30:41.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],['5ea6ed30080df4000697c912'],['5e9e2c5cf3591885d43b266d'],['5eb0e4c7b6c3bb0006eeb221'],"[{'core': '5e9e28a4f3591884ee3b264d', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",None,None,None
5eb87d18ffd86e000604b365,TESS,2018-04-18T22:51:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],"['5ea6ed2e080df4000697c90a', '5ea6ed2f080df4000697c90b', '5ea6ed2f080df4000697c90d', '5ea6ed30080df4000697c913']",[],['5eb0e4c7b6c3bb0006eeb222'],"[{'core': '5e9e28a5f35918863d3b2655', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",False,False,False
5eb87d19ffd86e000604b366,Bangabandhu-1,2018-05-11T20:14:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,True,[],"['5ea6ed2e080df4000697c90a', '5ea6ed2f080df4000697c90b', '5ea6ed30080df4000697c913', '5ea6ed30080df4000697c916']",[],['5eb0e4c7b6c3bb0006eeb223'],"[{'core': '5e9e28a5f359182b023b2656', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",False,False,False
5eb87d1affd86e000604b367,Iridium NEXT Mission 6,2018-05-22T19:47:58.000Z,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,True,[],['5ea6ed2e080df4000697c908'],[],"['5eb0e4c7b6c3bb0006eeb224', '5eb0e4c8b6c3bb0006eeb225']","[{'core': '5e9e28a4f35918345e3b2652', 'flight': 2, 'gridfins': True, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",False,True,False
5eb87d1bffd86e000604b368,SES-12,2018-06-04T04:45:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],['5ea6ed2e080df4000697c90a'],[],['5eb0e4c8b6c3bb0006eeb226'],"[{'core': '5e9e28a4f3591845123b264f', 'flight': 2, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",False,False,False
5eb87d1cffd86e000604b369,CRS-15,2018-06-29T09:42:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],['5ea6ed30080df4000697c912'],['5e9e2c5cf359183bb73b266e'],['5eb0e4c8b6c3bb0006eeb227'],"[{'core': '5e9e28a5f35918863d3b2655', 'flight': 2, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",None,None,None
5eb87d1effd86e000604b36a,Telstar 19V,2018-07-22T05:50:00.000Z,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,True,[],"['5ea6ed2e080df4000697c90a', '5ea6ed2f080df4000697c90b', '5ea6ed2f080df4000697c90d', '5ea6ed30080df4000697c913']",[],['5eb0e4c8b6c3bb0006eeb228'],"[{'core': '5e9e28a5f359181eed3b2657', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",False,False,False
5eb87d1fffd86e000604b36b,Iridium NEXT Mission 7,2018-07-25T11:39:26.000Z,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,True,[],"['5ea6ed2f080df4000697c910', '5ea6ed2e080df4000697c908', '5ea6ed30080df4000697c912', '5ea6ed30080df4000697c914']",[],['5eb0e4c9b6c3bb0006eeb229'],"[{'core': '5e9e28a5f3591809c03b2658', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}]",False,True,False
