Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.837449,0.837449,0.823045,0.823045,0.187037,352200
1962-01-03,0.835391,0.851852,0.835391,0.839506,0.190778,710400
1962-01-04,0.839506,0.853909,0.831276,0.831276,0.188908,911000
1962-01-05,0.831276,0.835391,0.792181,0.814815,0.185167,880400
1962-01-08,0.814815,0.829218,0.804527,0.816872,0.185635,473600
1962-01-09,0.816872,0.837449,0.810700,0.818930,0.186102,576800
1962-01-10,0.818930,0.833333,0.816872,0.818930,0.186102,352200
1962-01-11,0.820988,0.845679,0.820988,0.827160,0.187973,692400
1962-01-12,0.835391,0.855967,0.835391,0.849794,0.193116,972000
1962-01-15,0.845679,0.845679,0.829218,0.833333,0.189375,625400
1962-01-16,0.833333,0.837449,0.827160,0.827160,0.187973,376400
1962-01-17,0.827160,0.845679,0.827160,0.829218,0.188440,674000
1962-01-18,0.829218,0.841564,0.829218,0.833333,0.189375,710400
1962-01-19,0.835391,0.872428,0.835391,0.872428,0.198260,1293600
1962-01-22,0.872428,0.878601,0.860082,0.870370,0.197792,1147800
1962-01-23,0.862140,0.872428,0.860082,0.872428,0.198260,923400
1962-01-24,0.872428,0.876543,0.860082,0.876543,0.199195,1020600
1962-01-25,0.876543,0.901235,0.876543,0.897119,0.203871,2897400
1962-01-26,0.897119,0.903292,0.886831,0.893004,0.202935,1919600
1962-01-29,0.893004,0.899177,0.884774,0.897119,0.203871,941400
1962-01-30,0.897119,0.911523,0.893004,0.905350,0.205741,1749600
1962-01-31,0.907407,0.925926,0.907407,0.923868,0.209949,3383400
1962-02-01,0.923868,0.932099,0.897119,0.903292,0.205273,1968200
1962-02-02,0.903292,0.911523,0.884774,0.911523,0.207144,1105400
1962-02-05,0.909465,0.909465,0.893004,0.895062,0.205256,892800
1962-02-06,0.895062,0.897119,0.872428,0.895062,0.205256,801800
1962-02-07,0.895062,0.911523,0.888889,0.895062,0.205256,844200
1962-02-08,0.897119,0.911523,0.897119,0.897119,0.205728,656000
1962-02-09,0.899177,0.913580,0.899177,0.913580,0.209503,680400
1962-02-12,0.905350,0.905350,0.895062,0.899177,0.206200,510200
1962-02-13,0.903292,0.917695,0.903292,0.905350,0.207616,656000
1962-02-14,0.905350,0.915638,0.903292,0.911523,0.209031,540200
1962-02-15,0.913580,0.925926,0.913580,0.917695,0.210447,917000
1962-02-16,0.917695,0.921811,0.907407,0.907407,0.208087,510200
1962-02-19,0.907407,0.915638,0.899177,0.903292,0.207144,619400
1962-02-20,0.903292,0.915638,0.899177,0.899177,0.206200,479600
1962-02-21,0.899177,0.903292,0.882716,0.888889,0.203841,400800
1962-02-23,0.878601,0.878601,0.843621,0.860082,0.197235,1160000
1962-02-26,0.860082,0.874486,0.849794,0.864198,0.198178,680400
1962-02-27,0.864198,0.888889,0.858025,0.874486,0.200538,668000
1962-02-28,0.874486,0.882716,0.874486,0.882716,0.202425,303600
1962-03-01,0.882716,0.888889,0.853909,0.872428,0.200066,722600
1962-03-02,0.872428,0.880658,0.858025,0.864198,0.198178,583200
1962-03-05,0.862140,0.862140,0.849794,0.862140,0.197707,418800
1962-03-06,0.860082,0.860082,0.831276,0.833333,0.191101,868400
1962-03-07,0.833333,0.843621,0.831276,0.831276,0.190629,625400
1962-03-08,0.831276,0.855967,0.831276,0.847737,0.194404,595200
